漢字,訓読み
串,な（れる）
汰,よな（げる）
沙,よな（げる）
沃,こ（える）
冶,と（ける）
拉,ひしゃ（げる）
苛,いじ（める）
宛,あ（てる）
畏,おそ（れる）
訃,つ（げる）
剥,は（げる）
剝,は（げる）
捉,とら（える）
挫,くじ（ける）
戚,うれ（える）
萎,な（える）
萎,しお（れる）
萎,つか（れる）
惧,おそ（れる）
淫,あふ（れる）
羞,すす（める）
羞,はずかし（める）
痩,や（せる）
痩,こ（ける）
喩,たと（える）
貼,つ（ける）
須,もと（める）
喻,たと（える）
頓,つか（れる）
填,うず（める）
填,は（める）
溺,おぼ（れる）
彙,あつ（める）
毀,や（せる）
毀,やぶ（れる）
慄,おそ（れる）
彚,あつ（める）
腫,は（れる）
詮,しら（べる）
詣,もう（でる）
塡,うず（める）
塡,は（める）
遜,のが（れる）
潰,つぶ（れる）
潰,つい（える）
潰,みだ（れる）
蔽,さだ（める）
憧,あこが（れる）
稽,かんが（える）
稽,とど（める）
憬,あこが（れる）
𥡴,かんが（える）
𥡴,とど（める）
諦,あきら（める）
賭,か（ける）
醒,さ（める）
膳,そな（える）
籠,こ（める）
尤,すぐ（れる）
尤,とが（める）
弘,ひろ（める）
仔,た（える）
叩,ひか（える）
丞,たす（ける）
兇,おそ（れる）
冴,さ（える）
劫,かす（める）
邑,うれ（える）
禿,は（げる）
孜,つと（める）
呆,あき（れる）
佑,たす（ける）
吠,ほ（える）
怯,おび（える）
於,お（ける）
函,い（れる）
帖,た（れる）
叛,はな（れる）
宥,なだ（める）
祐,たす（ける）
凾,い（れる）
洩,も（れる）
垢,けが（れる）
垢,よご（れる）
毘,たす（ける）
毗,たす（ける）
按,おさ（える）
按,かんが（える）
按,しら（べる）
狼,みだ（れる）
套,かさ（ねる）
倦,つか（れる）
訊,たず（ねる）
捌,さば（ける）
捌,は（ける）
啐,な（める）
焔,も（える）
淘,よな（げる）
惚,とぼ（ける）
惚,ほう（ける）
惚,ぼ（ける）
惚,ほ（れる）
訣,わか（れる）
萌,も（える）
萠,も（える）
逢,むか（える）
捧,かか（える）
捧,ささ（げる）
掠,かす（める）
掠,かす（れる）
揃,そろ（える）
溌,は（ねる）
弼,たす（ける）
脹,は（れる）
脹,ふく（れる）
湛,たた（える）
焰,も（える）
悶,もだ（える）
鈎,か（ける）
寓,かこつ（ける）
寓,よ（せる）
馳,は（せる）
碍,ささ（える）
碍,さまた（げる）
蒐,あつ（める）
愈,い（える）
馴,な（れる）
禽,とら（える）
鉤,か（ける）
煤,すす（ける）
蒔,う（える）
鳩,あつ（める）
溢,あふ（れる）
溢,こぼ（れる）
溜,た（める）
遁,のが（れる）
煽,おだ（てる）
厭,おさ（える）
膏,こ（える）
輔,たす（ける）
綜,す（べる）
綜,まじ（える）
熔,と（ける）
暢,の（べる）
嘗,な（める）
肇,はじ（める）
廓,ひろ（げる）
潑,は（ねる）
劉,つら（ねる）
蕃,ふ（える）
撹,ま（ぜる）
撫,な（でる）
蕪,あ（れる）
蕪,みだ（れる）
聨,つら（ねる）
駈,か（ける）
諌,いさ（める）
歎,たた（える）
蕩,とろ（ける）
輯,あつ（める）
諫,いさ（める）
穎,すぐ（れる）
