漢字,訓読み
頂,いただ（く）
盛,も（る）
盛,さか（る）
捨,ほどこ（す）
視,み（る）
済,す（む）
済,すく（う）
済,な（す）
済,わた（す）
済,わた（る）
推,お（す）
裁,さば（く）
裁,た（つ）
痛,いた（む）
就,つ（く）
就,な（す）
就,な（る）
補,おぎな（う）
割,わ（る）
割,さ（く）
装,よそお（う）
装,よそ（う）
貴,たっと（ぶ）
貴,とうと（ぶ）
揮,ふる（う）
尊,たっと（ぶ）
尊,とうと（ぶ）
敬,うやま（う）
敬,つつし（む）
創,つく（る）
盟,ちか（う）
署,しる（す）
傷,いた（む）
蒸,む（す）
賃,やと（う）
障,さわ（る）
障,ふせ（ぐ）
誤,あやま（る）
模,のっと（る）
誌,しる（す）
疑,うたが（う）
疑,うたぐ（る）
敵,かな（う）
遺,のこ（す）
遺,のこ（る）
論,あげつら（う）
論,と（く）
誕,いつわ（る）
熟,う（む）
熟,こな（す）
熟,に（る）
権,はか（る）
操,あやつ（る）
操,と（る）
縦,はな（つ）
縦,ゆる（す）
憲,のっと（る）
奮,ふる（う）
縮,ちぢ（む）
覧,み（る）
優,まさ（る）
簡,えら（ぶ）
臨,のぞ（む）
与,あずか（る）
及,およ（ぶ）
刈,か（る）
匹,たぐ（う）
払,はら（う）
込,こ（む）
召,め（す）
占,うらな（う）
汚,よご（す）
汚,けが（す）
仰,あお（ぐ）
仰,あおの（く）
仰,おっしゃ（る）
仰,の（く）
扱,あつか（う）
扱,こ（く）
扱,しご（く）
弐,ふた（つ）
尽,ことごと（く）
劣,おと（る）
吐,は（く）
吐,つ（く）
巡,めぐ（る）
巡,まわ（る）
叫,さけ（ぶ）
抜,ぬ（く）
攻,みが（く）
却,しりぞ（く）
狂,くる（う）
抗,あらが（う）
抗,こば（む）
抗,はりあ（う）
抗,ふせ（ぐ）
吹,ふ（く）
壱,ひと（つ）
伺,うかが（う）
含,ふく（む）
沈,しず（む）
即,つ（く）
沢,うるお（う）
抵,う（つ）
拓,ひら（く）
茂,しげ（る）
到,いた（る）
突,つ（く）
刺,さ（す）
刺,そし（る）
征,う（つ）
征,と（る）
征,ゆ（く）
迫,せま（る）
迫,せ（る）
拍,う（つ）
押,お（す）
祈,いの（る）
抱,いだ（く）
抱,だ（く）
拠,よ（る）
屈,かが（む）
依,よ（る）
荒,すさ（ぶ）
荒,すさ（む）
咲,さ（く）
咲,わら（う）
侵,おか（す）
狩,か（る）
冒,おか（す）
冒,おお（う）
冒,ねた（む）
冒,むさぼ（る）
逃,のが（す）
怒,いか（る）
