漢字,訓読み
流,"なが（す）,なが（れる）"
荷,にな（う）
根,
庭,
員,
起,"お（きる）,お（こす）,お（こる）,た（つ）"
速,"はや（い）,はや（まる）,はや（める）,すみ（やか）"
倍,"そむ（く）,ま（す）"
消,"き（える）,け（す）"
真,
配,"くば（る）,なが（す）,なら（ぶ）"
宮,
旅,
病,や（む）
息,"いこ（う）,やす（む）,や（む）"
悪,"わる（い）,あ（し）,いずく（んぞ）,にく（む）"
都,すべ（て）
動,"うご（かす）,うご（く）,やや（もすれば）"
球,
部,"す（べる）,わ（ける）"
問,"と（い）,と（う）,たず（ねる）,たよ（り）"
第,つい（で）
終,"お（える）,お（わる）,しま（う）,つい（に）"
習,なら（う）
宿,"やど（す）,やど（る）"
転,"ころ（がす）,ころ（がる）,ころ（げる）,ころ（ぶ）,うた（た）,うつ（る）,こ（ける）,まろ（ぶ）"
深,"ふか（い）,ふか（まる）,ふか（める）,ふ（ける）"
章,
進,"すす（む）,すす（める）"
商,"あきな（う）,あきな（い）,はか（る）"
帳,
祭,"まつ（り）,まつ（る）"
笛,
族,
落,"お（ちる）,お（とす）"
筆,
期,"き（める）,ちぎ（る）"
陽,いつわ（る）
飲,"の（む）,の（ます）,みずか（う）"
葉,
運,"はこ（ぶ）,めぐ（る）"
遊,"あそ（ぶ）,すさ（び）,すさ（ぶ）"
階,
温,"あたた（か）,あたた（かい）,あたた（まる）,あたた（める）,たず（ねる）,つつ（む）,ぬく（い）,ぬく（まる）,ぬく（める）,ぬる（い）"
開,"あ（く）,あ（ける）,ひら（く）,ひら（ける）,はだ（かる）,はだ（ける）"
寒,"さむ（い）,いや（しい）,さび（しい）,まず（しい）"
童,
湯,
登,のぼ（る）
等,ひと（しい）
港,
暑,あつ（い）
歯,
着,"き（せる）,き（る）,つ（く）,つ（ける）"
植,"う（える）,う（わる）,た（てる）"
集,"あつ（まる）,あつ（める）,つど（う）,すだ（く）,たか（る）"
湖,
短,みじか（い）
悲,"かな（しい）,かな（しむ）"
勝,"か（つ）,まさ（る）,すぐ（れる）,た（える）"
軽,"かる（い）,かろ（やか）"
詩,
路,
業,
想,おも（う）
感,かま（ける）
鉄,
農,たがや（す）
福,さいわ（い）
漢,
暗,"くら（い）,そら（んじる）"
意,おも（う）
練,ね（る）
緑,
駅,
様,
銀,
鼻,はじ（め）
箱,
談,かた（る）
横,よこ（たわる）
調,"しら（べる）,ととの（う）,ととの（える）,あざけ（る）,やわら（ぐ）"
橋,
館,
薬,
整,"ととの（う）,ととの（える）"
題,
井,
欠,"か（く）,か（ける）"
夫,
不,
氏,
失,"うしな（う）,う（せる）"
付,"つ（く）,つ（ける）,あた（える）"
功,
末,
令,よ（い）
札,
包,"つつ（む）,くる（む）"
辺,あた（り）
必,かなら（ず）
以,"もち（いる）,もっ（て）"
司,つかさど（る）
未,"いま（だ）,ま（だ）"
加,"くわ（える）,くわ（わる）"
民,
印,しる（す）
衣,き（る）
兆,"きざ（し）,きざ（す）,うらな（い）"
共,
灯,"とぼ（す）,とも（す）,とも（る）"
成,"な（す）,な（る）"
伝,"つた（う）,つた（える）,つた（わる）"
老,"お（いる）,ふ（ける）"
仲,
争,"あらそ（う）,いさ（める）"
好,"この（む）,す（く）,よ（い）"
各,
阪,
臣,
初,"はじ（め）,はじ（めて）,そ（める）"
利,"き（く）,するど（い）,と（し）,よ（い）"
芸,"う（える）,くさぎ（る）"
児,
良,よ（い）
材,
労,"いたわ（る）,つか（れる）,ねぎら（う）,はたら（く）"
佐,たす（ける）
改,"あらた（まる）,あらた（める）"
完,まっと（うする）
束,つか（ねる）
冷,"さ（ます）,さ（める）,つめ（たい）,ひ（える）,ひ（や）,ひ（やかす）,ひ（やす）"
低,"ひく（い）,ひく（まる）,ひく（める）,た（れる）"
努,つと（める）
位,
岐,わか（れる）
希,こいねが（う）
沖,"と（ぶ）,むな（しい）"
別,"わか（れる）,わか（つ）,わ（ける）"
兵,
求,もと（める）
折,"お（る）,お（れる）,くじ（ける）,さだ（める）"
的,あき（らか）
典,
治,"おさ（まる）,おさ（める）,なお（す）,なお（る）"
底,
法,のっと（る）
松,
卒,"お（える）,お（わる）,つい（に）,にわ（かに）"
阜,ゆた（か）
周,"まわ（り）,あまね（く）,めぐ（る）"
牧,"か（う）,やしな（う）"
府,
参,"まい（る）,まじ（わる）"
岡,
奈,"いかん（ぞ）,なん（ぞ）"
例,"たと（える）,たと（えば）"
径,ただ（ちに）
果,"は（たす）,は（て）,は（てる）,おお（せる）"
芽,めぐ（む）
泣,な（く）
協,かな（う）
季,
官,
固,"かた（い）,かた（まる）,かた（める）,もと（より）"
念,おも（う）
英,ひい（でる）
刷,"す（る）,は（く）"
勇,"いさ（む）,いさ（ましい）,つよ（い）"
要,"い（る）,もと（める）"
単,ひと（つ）
城,
飛,"と（ばす）,と（ぶ）"
香,"かお（り）,かお（る）,かぐわ（しい）,かんば（しい）"
建,"た（つ）,た（てる）,くつがえ（す）"
浅,あさ（い）
約,"ちか（う）,つづま（やか）,つづ（める）,つま（しい）"
茨,
変,"か（える）,か（わる）"
便,"たよ（り）,すなわ（ち）,へつら（う）"
栃,
昨,
軍,
省,"はぶ（く）,かえり（みる）"
栄,"さか（える）,は（え）,は（える）,は（やす）"
信,"たよ（り）,まか（せる）"
祝,"いわ（う）,た（つ）,の（る）,のろ（う）"
孫,
害,"そこ（なう）,わざわ（い）"
徒,いたずら（に）
特,"とりわ（け）,ひと（つ）,ひと（り）"
案,かんが（える）
梅,
帯,お（びる）
郡,
候,"うかが（う）,さぶら（う）,ま（つ）"
料,はか（る）
笑,"わら（う）,え（む）"
訓,"おし（える）,よ（む）"
差,"さ（す）,たが（う）,つか（わす）"
席,
挙,"あ（がる）,あ（げる）,こぞ（って）,こぞ（る）"
連,"つら（なる）,つら（ねる）,つ（れる）,しき（りに）"
浴,"あ（びせる）,あ（びる）"
倉,にわ（か）
残,"のこ（す）,のこ（る）,そこ（なう）"
借,か（りる）
陸,
敗,"やぶ（れる）,ま（ける）,やぶ（る）"
票,
鹿,
副,そ（う）
崎,
埼,
梨,
貨,
康,やす（い）
望,"のぞ（む）,うら（む）"
巣,
側,かたわ（ら）
健,"すこ（やか）,したた（か）,たけ（し）"
菜,
械,
清,"きよ（い）,きよ（まる）,きよ（める）,さや（か）,す（む）"
産,"う（まれる）,う（む）"
唱,"とな（える）,うた（う）"
最,もっと（も）
散,"ち（らかす）,ち（らかる）,ち（らす）,ち（る）"
焼,"や（く）,や（ける）,く（べる）"
量,はか（る）
街,
給,"たま（う）,たまわ（る）"
富,と（む）
賀,よろこ（ぶ）
滋,"しげ（る）,ま（す）"
極,"きわ（まる）,きわ（み）,きわ（める）,き（まる）,き（める）"
景,
結,"むす（ぶ）,ゆ（う）,ゆ（わえる）,す（く）"
覚,"おぼ（える）,さ（ます）,さ（める）,さと（り）,さと（る）"
媛,
満,"み（たす）,み（ちる）"
博,"ひろ（い）,ひろ（める）"
然,"しか（し）,しか（して）,しか（も）,しか（らば）,しか（り）,も（える）"
隊,お（ちる）
順,したが（う）
達,"とお（る）,とど（く）"
飯,くら（う）
無,な（い）
愛,"いと（しい）,う（い）,お（しむ）,かな（しい）,め（でる）"
続,"つづ（く）,つづ（ける）,つ（ぐ）"
置,お（く）
群,"む（れ）,む（れる）"
戦,"たたか（う）,おのの（く）,そよ（ぐ）"
辞,"や（める）,ことわ（る）"
働,はたら（く）
節,
塩,
試,"こころ（みる）,ため（す）"
照,"て（らす）,て（る）,て（れる）"
管,つかさど（る）
徳,
種,う（える）
旗,
察,"あき（らか）,し（る）,み（る）"
静,"しず（か）,しず（まる）,しず（める）"
説,"と（く）,よろこ（ぶ）"
漁,"あさ（る）,いさ（り）,すなど（る）"
熊,
関,かか（わる）
億,おしはか（る）
課,"こころ（みる）,はか（る）,わりあ（てる）"
潟,
縄,ただ（す）
輪,
熱,"あつ（い）,いき（る）,ほて（る）"
標,しる（す）
選,"えら（ぶ）,え（る）,すぐ（る）,よ（る）"
養,"やしな（う）,やしな（い）"
器,
積,"つ（む）,つ（もる）,たくわ（える）"
機,きざ（し）
録,しる（す）
類,"たぐ（い）,たぐ（える）,に（る）"
験,ため（す）
観,"しめ（す）,み（る）,み（せる）"
鏡,
願,"ねが（う）,ねが（わくは）"
競,"きそ（う）,せ（る）,きお（う）,くら（べる）"
議,はか（る）
久,ひさ（しい）
士,
仏,
